181695,43.194674,-0.478521,8.057,0.0227507,2.76079,1
181704,43.197301,0.094642,16.231,1.76129,0.0334249,0
181706,43.197925,-0.088258,9.655,0.0741765,0.627429,1
181710,43.198694,-0.475708,8.469,0.0331115,1.14837,1
181711,43.198713,-0.119626,12.440,0.357074,0.242189,1
181713,43.199509,-0.062772,14.582,1.31317,0.480123,2
181714,43.200723,-0.352562,13.808,0.667585,0.0598904,1
181717,43.201872,0.012901,16.895,4.71733,0.319357,2
181718,43.202071,0.434033,23.661,34.6492,0.126547,2
181728,43.205155,0.034122,15.779,1.48655,0.28754,1
181737,43.207461,0.461048,10.902,0.161732,0.0876096,1
181747,43.208979,0.185888,12.682,0.400703,0.0323654,0
181754,43.210289,-0.211814,12.149,0.309815,0.16422,1
181776,43.214589,-0.021508,19.740,12.0634,0.141669,2
181778,43.214995,0.360372,12.440,0.35707,0.0703766,1
181783,43.216213,0.112229,34.671,265.048,0.0338719,2
181784,43.216246,0.011179,16.533,9.35363,0.232663,2
181797,43.220652,0.112247,14.461,3.82095,0.230649,2
181805,43.221970,-0.244182,12.913,0.446596,0.0652768,1
181807,43.223020,-0.094267,20.816,17.5789,0.129871,2
181811,43.223642,0.104233,16.060,3.03656,0.0934172,2
181812,43.224544,-0.038632,15.698,1.17386,1.05889,1
181820,43.226609,-0.293514,11.666,0.242839,0.0517041,1
181821,43.226976,-0.373591,7.996,0.0246111,0.404887,1
181834,43.230811,0.116955,11.314,0.188043,0.655476,1
181835,43.231033,0.023064,13.215,0.512971,0.167251,1
181840,43.232443,0.207615,11.847,0.266341,0.0504388,1
181854,43.237327,-0.045333,22.113,16.9023,4.04686,2
181858,43.239864,-0.167942,14.170,12.3755,0.0832838,2
181860,43.239960,0.132520,12.863,1.54848,0.15536,2
181870,43.241792,0.113622,13.446,0.569228,0.274528,1
181877,43.244239,-0.390552,14.220,0.796472,0.0947482,1
181879,43.244549,0.164147,13.868,0.685277,0.05538,1
181882,43.245827,-0.084956,11.556,0.214831,0.56702,1
181893,43.249899,0.020844,12.973,0.459263,0.137507,1
181902,43.252449,-0.056803,27.623,42.797,0.00872877,0
181910,43.255191,-0.157358,22.203,122.295,0.00562046,2
181938,43.262898,-0.450775,13.164,1.8874,0.237349,2
181941,43.264544,-0.425312,15.708,1.44713,0.0279335,0
181943,43.264625,0.147590,11.676,0.244102,0.118615,1
181958,43.270676,0.127963,11.314,0.202075,0.159019,1
181960,43.270845,-0.397254,13.275,0.527167,0.137954,1
181962,43.271571,-0.083087,16.301,1.80762,0.112303,1
181968,43.272742,0.076529,17.076,2.38789,0.0359863,1
181984,43.277841,0.123136,10.369,0.119731,0.230547,1
182003,43.285944,-0.401994,10.962,0.274418,0.360856,2
182006,43.286813,-0.298173,11.204,0.190512,0.0997179,1
182014,43.288764,-0.373616,9.897,0.0854356,0.679311,1
182022,43.291006,-0.155078,10.429,0.119832,0.340156,1
182025,43.292396,-0.430880,12.983,0.936714,0.396024,2
182041,43.296305,0.235589,11.194,0.189566,0.0421309,1
182044,43.296870,-0.355437,11.676,0.457091,0.120014,2
182051,43.299082,0.440123,16.251,3.9876,0.168213,2
182052,43.299470,0.126137,15.296,1.2337,0.0588216,1
182056,43.300774,-0.087017,11.264,0.186399,0.490693,1
182060,43.302937,-0.094072,12.209,0.598906,0.556531,2
182068,43.306336,-0.210776,25.612,31.1983,3.0227,2
182070,43.307083,-0.085633,15.708,4.63391,0.109712,2
182076,43.310168,-0.173568,11.907,0.274631,0.19713,1
182082,43.312058,-0.299658,12.561,0.378368,0.0833232,1
182083,43.312147,-0.402663,9.243,0.0600587,0.249885,1
182100,43.316439,-0.362745,8.177,0.0275225,0.776846,1
182103,43.317258,0.446662,11.616,0.236631,0.0507324,1
182113,43.324275,-0.012095,14.049,0.740718,0.0457825,1
182115,43.324589,-0.183931,15.758,1.47514,0.138289,1
182118,43.326615,-0.202182,19.861,4.84208,3.16226,2
182152,43.337122,0.479221,10.490,0.128336,0.174713,1
